medcodeid,ctd_cnd,ctd_weight
2549731014,1,.4
2695828012,1,.4
12347141000006117,1,.4
7099641000006113,1,.4
309805017,1,.4
2839291014,1,.4
2817437013,1,.4
7288571000006116,1,.4
147834015,1,.4
1140231000000119,1,.4
7480521000006119,1,.4
388241000006119,1,.4
12184951000006114,1,.4
309673013,1,.4
309679012,1,.4
309676017,1,.4
309683012,1,.4
309682019,1,.4
80709010,1,.4
3323961000006115,1,.4
495810010,1,.4
3323991000006111,1,.4
3324001000006119,1,.4
3323971000006110,1,.4
92208011,1,.4
312579010,1,.4
92209015,1,.4
3400601000006117,1,.4
309408013,1,.4
3404951000006117,1,.4
637281000006112,1,.4
3404981000006113,1,.4
3404971000006110,1,.4
3405001000006116,1,.4
3404961000006115,1,.4
3404991000006111,1,.4
3404941000006119,1,.4
3405011000006118,1,.4
500658014,1,.4
3592781000006110,1,.4
3592771000006112,1,.4
3619241000006113,1,.4
677561000006119,1,.4
114310015,1,.4
3619221000006118,1,.4
889741000006118,1,.4
889781000006112,1,.4
168751000006115,1,.4
116082011,1,.4
3636551000006114,1,.4
889811000006114,1,.4
3636571000006116,1,.4
889821000006118,1,.4
889791000006110,1,.4
889761000006119,1,.4
889731000006111,1,.4
889801000006111,1,.4
889751000006116,1,.4
3636521000006117,1,.4
3636561000006111,1,.4
3636511000006113,1,.4
312520011,1,.4
3636531000006119,1,.4
889771000006114,1,.4
3636541000006112,1,.4
1747711000000111,1,.4
309383019,1,.4
7709491000006119,1,.4
12363861000006114,1,.4
1909381000006115,1,.4
7709471000006115,1,.4
7709481000006117,1,.4
2360741000000115,1,.4
3709261000006115,1,.4
123542016,1,.4
502690012,1,.4
3709271000006110,1,.4
3709251000006117,1,.4
125937016,1,.4
3732891000006112,1,.4
1739221000006112,1,.4
2842168015,1,.4
12001711000006118,1,.4
63891000006116,1,.4
3773941000006119,1,.4
129958015,1,.4
738281000006116,1,.4
129960018,1,.4
503805018,1,.4
460901000006115,1,.4
315127010,1,.4
636501000006116,1,.4
129961019,1,.4
65231000006117,1,.4
3773931000006112,1,.4
40551000006110,1,.4
3773961000006115,1,.4
