medcodeid,anxdep_sno,anxdep_weight
294832014,1,.47
294836012,1,.47
294837015,1,.47
294838013,1,.47
294840015,1,.47
294844012,1,.47
294845013,1,.47
294894013,1,.47
294917018,1,.47
294918011,1,.47
294919015,1,.47
294924017,1,.47
294927012,1,.47
294953016,1,.47
294960010,1,.47
294961014,1,.47
294963012,1,.47
294964018,1,.47
294965017,1,.47
294968015,1,.47
294978017,1,.47
294991016,1,.47
294992011,1,.47
294993018,1,.47
294994012,1,.47
294995013,1,.47
294996014,1,.47
294998010,1,.47
295004011,1,.47
295011010,1,.47
295016017,1,.47
295017014,1,.47
295026012,1,.47
295031014,1,.47
295032019,1,.47
295033012,1,.47
295064014,1,.47
295067019,1,.47
295077017,1,.47
295342013,1,.47
295346011,1,.47
295348012,1,.47
295349016,1,.47
295350016,1,.47
295351017,1,.47
295355014,1,.47
295357018,1,.47
295360013,1,.47
295362017,1,.47
295363010,1,.47
295364016,1,.47
295366019,1,.47
295374018,1,.47
295381013,1,.47
295382018,1,.47
295383011,1,.47
295384017,1,.47
295385016,1,.47
295387012,1,.47
295388019,1,.47
295389010,1,.47
295390018,1,.47
295391019,1,.47
295392014,1,.47
295394010,1,.47
295395011,1,.47
295396012,1,.47
295401011,1,.47
295441019,1,.47
295442014,1,.47
295444010,1,.47
295460014,1,.47
295464017,1,.47
295465016,1,.47
295466015,1,.47
295470011,1,.47
295474019,1,.47
295475018,1,.47
295476017,1,.47
295477014,1,.47
295483012,1,.47
295512014,1,.47
295535012,1,.47
295537016,1,.47
295572018,1,.47
295573011,1,.47
295584016,1,.47
295653010,1,.47
296066015,1,.47
296137015,1,.47
296138013,1,.47
296180012,1,.47
296181011,1,.47
296198011,1,.47
296199015,1,.47
296224013,1,.47
296236019,1,.47
296237011,1,.47
296238018,1,.47
296239014,1,.47
296245018,1,.47
296249012,1,.47
296251011,1,.47
296252016,1,.47
296253014,1,.47
296254015,1,.47
296255019,1,.47
296271019,1,.47
296272014,1,.47
296273016,1,.47
296277015,1,.47
296289018,1,.47
296298015,1,.47
296340014,1,.47
296341013,1,.47
296358015,1,.47
296460017,1,.47
296488011,1,.47
296489015,1,.47
296722013,1,.47
296765014,1,.47
296766010,1,.47
296767018,1,.47
2985691000006112,1,.47
2985701000006112,1,.47
2985711000006110,1,.47
2985721000006119,1,.47
299413014,1,.47
2994711000006110,1,.47
2994721000006119,1,.47
2994731000006116,1,.47
2994741000006114,1,.47
2994771000006118,1,.47
3000261000006112,1,.47
300681000000118,1,.47
3009221000006112,1,.47
3009231000006110,1,.47
304838011,1,.47
3056481000006110,1,.47
30729012,1,.47
309013017,1,.47
3099611000006115,1,.47
3150771000006112,1,.47
3150801000006114,1,.47
3150811000006112,1,.47
3150821000006116,1,.47
3160731000006118,1,.47
3160741000006111,1,.47
3209141000006116,1,.47
3209151000006119,1,.47
3209161000006117,1,.47
3214931000006113,1,.47
3214941000006115,1,.47
3214951000006118,1,.47
3265811000006112,1,.47
3265831000006118,1,.47
3268061000006113,1,.47
3268071000006118,1,.47
3268081000006115,1,.47
3268091000006117,1,.47
3287741000006111,1,.47
3287761000006110,1,.47
3287771000006115,1,.47
330151010,1,.47
330153013,1,.47
333411016,1,.47
33475016,1,.47
3354451000006114,1,.47
3354461000006111,1,.47
3354471000006116,1,.47
3354511000006114,1,.47
3354521000006118,1,.47
3381271000006114,1,.47
3385931000006117,1,.47
339044013,1,.47
3398571000006119,1,.47
